"store","avg_rating","avg_lifespan","avg_lifeearnings","avg_lifecost","avg_netprofit"
"Apple","4.35","9.70","$290,869.57","$103,513.04","$187,356.52"
"Google","4.45","10.91","$297,260.87","$103,969.57","$193,291.30"
