name,rating,store,cost,category,expected_lifespan_in_years,lifetime_earnings,lifetime_cost,net_profit,total_net_profit
Doodle Jump,4.5,Apple,0.99,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Episode - Choose Your Story,4.3,Google,0,Family,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Episode - Choose Your Story,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Flow Free,4.3,Google,0,Games,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Flow Free,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Frozen Free Fall,4.3,Google,0,Family,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Frozen Free Fall,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Fruit Ninja®,4.3,Google,0,Games,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Fruit Ninja®,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
GMX Mail,4.3,Google,0,Communication,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
GMX Mail,4.5,Apple,0,Productivity,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Google Docs,4.3,Google,0,Productivity,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Google Docs,4.5,Apple,0,Productivity,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Google Sheets,4.3,Google,0,Productivity,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Google Sheets,4.5,Apple,0,Productivity,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
MARVEL Contest of Champions,4.3,Google,0,Games,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
MARVEL Contest of Champions,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
PAC-MAN Pop,4.3,Google,0,Family,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
PAC-MAN Pop,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Photo Editor-,4.3,Google,0,Photography,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Photo Editor-,4.5,Apple,0,Photo & Video,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Pineapple Pen,4.3,Google,0,Games,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Pineapple Pen,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Pou,4.3,Google,0,Family,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Pou,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Regal Cinemas,4.3,Google,0,Entertainment,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Regal Cinemas,4.5,Apple,0,Entertainment,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Smashy Road: Arena,4.3,Google,0,Games,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Smashy Road: Arena,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Star Chart,4.3,Google,0,Family,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Star Chart,4.5,Apple,0,Education,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Summoners War,4.3,Google,0,Games,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Summoners War,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Super Jabber Jump,4.3,Google,0,Games,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Super Jabber Jump,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Temple Run,4.3,Google,0,Games,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Temple Run,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Temple Run 2,4.3,Google,0,Games,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Temple Run 2,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
The Sims™ FreePlay,4.3,Google,0,Family,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
The Sims™ FreePlay,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Verizon Cloud,4.3,Google,0,Productivity,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Verizon Cloud,4.5,Apple,0,Productivity,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
WGT Golf Game by Topgolf,4.3,Google,0,Sports,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
WGT Golf Game by Topgolf,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Wishbone - Compare Anything,4.3,Google,0,Social,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Wishbone - Compare Anything,4.5,Apple,0,Social Networking,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Xbox,4.3,Google,0,Family,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Xbox,4.5,Apple,0,Entertainment,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Dragon Hills,4.5,Apple,1.99,Games,10,"$300,000.00 ","$79,900.00 ","$220,100.00 ","$450,100.00 "
Dragon Hills,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,100.00 "
Where's My Water?,4.5,Apple,1.99,Games,10,"$300,000.00 ","$79,900.00 ","$220,100.00 ","$449,800.00 "
Where's My Water?,4.7,Google,1.99,Family,11.4,"$312,000.00 ","$82,300.00 ","$229,700.00 ","$449,800.00 "
aa,4.2,Google,0,Family,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$445,600.00 "
aa,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$445,600.00 "
Agar.io,4.2,Google,0,Games,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$445,600.00 "
Agar.io,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$445,600.00 "
Deck Heroes: Legacy,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$445,600.00 "
Deck Heroes: Legacy,4.7,Google,0,Games,11.4,"$312,000.00 ","$72,400.00 ","$239,600.00 ","$445,600.00 "
Dubsmash,4.2,Google,0,Video Players,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$445,600.00 "
Dubsmash,4.5,Apple,0,Entertainment,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$445,600.00 "
Talking Ginger 2,4.2,Google,0,Entertainment,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$445,600.00 "
Talking Ginger 2,4.5,Apple,0,Entertainment,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$445,600.00 "
WeChat,4.2,Google,0,Communication,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$445,600.00 "
WeChat,4.5,Apple,0,Social Networking,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$445,600.00 "
"sugar, sugar",4.2,Google,1.2,Family,10.4,"$282,000.00 ","$68,400.00 ","$213,600.00 ","$443,600.00 "
"sugar, sugar",4.5,Apple,0.99,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$443,600.00 "
Angry Birds 2,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$440,800.00 "
Angry Birds 2,4.6,Google,0,Family,11.2,"$306,000.00 ","$71,200.00 ","$234,800.00 ","$440,800.00 "
Fandango Movies - Times + Tickets,4,Apple,0,Entertainment,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$440,800.00 "
Fandango Movies - Times + Tickets,4.6,Google,0,Entertainment,11.2,"$306,000.00 ","$71,200.00 ","$234,800.00 ","$440,800.00 "
My Emma :),4.1,Google,0,Family,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$440,800.00 "
My Emma :),4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$440,800.00 "
Tomb of the Mask,4.1,Google,0,Games,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$440,800.00 "
Tomb of the Mask,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$440,800.00 "
Fruit Ninja Classic,4.3,Google,0.99,Games,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$440,500.00 "
Fruit Ninja Classic,4.5,Apple,1.99,Games,10,"$300,000.00 ","$79,900.00 ","$220,100.00 ","$440,500.00 "
Toca Kitchen 2,4.5,Apple,2.99,Education,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$440,100.00 "
Toca Kitchen 2,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$440,100.00 "
Vikings: an Archer's Journey,4.5,Apple,2.99,Games,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$440,100.00 "
Vikings: an Archer's Journey,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$440,100.00 "
Angry Birds Space HD,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$436,000.00 "
Angry Birds Space HD,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$436,000.00 "
Endless Ducker,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$436,000.00 "
Endless Ducker,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$436,000.00 "
Farming Simulator 14,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$436,000.00 "
Farming Simulator 14,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$436,000.00 "
Mad Skills Motocross,4,Google,0,Games,10,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$436,000.00 "
Mad Skills Motocross,4.5,Apple,0.99,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$436,000.00 "
Microsoft PowerPoint,4,Apple,0,Productivity,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$436,000.00 "
Microsoft PowerPoint,4.5,Google,0,Productivity,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$436,000.00 "
Snapseed,4,Apple,0,Photo & Video,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$436,000.00 "
Snapseed,4.5,Google,0,Photography,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$436,000.00 "
Tiny Archers,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$436,000.00 "
Tiny Archers,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$436,000.00 "
USAA Mobile,4,Apple,0,Finance,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$436,000.00 "
USAA Mobile,4.5,Google,0,Finance,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$436,000.00 "
WWE,4,Apple,0,Entertainment,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$436,000.00 "
WWE,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$436,000.00 "
AJ Jump: Animal Jam Kangaroos!,4.4,Google,1.99,Games,10.8,"$294,000.00 ","$78,700.00 ","$215,300.00 ","$435,400.00 "
AJ Jump: Animal Jam Kangaroos!,4.5,Apple,1.99,Games,10,"$300,000.00 ","$79,900.00 ","$220,100.00 ","$435,400.00 "
Airbnb,4,Apple,0,Travel,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$431,200.00 "
Airbnb,4.4,Google,0,Travel And Local,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$431,200.00 "
Best Buy,4,Apple,0,Shopping,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$431,200.00 "
Best Buy,4.4,Google,0,Shopping,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$431,200.00 "
Firefox Focus: The privacy browser,4,Apple,0,Utilities,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$431,200.00 "
Firefox Focus: The privacy browser,4.4,Google,0,Communication,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$431,200.00 "
NBA LIVE Mobile Basketball,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$431,200.00 "
NBA LIVE Mobile Basketball,4.4,Google,0,Sports,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$431,200.00 "
Tumblr,4,Apple,0,Social Networking,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$431,200.00 "
Tumblr,4.4,Google,0,Social,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$431,200.00 "
Can Knockdown 3,4.1,Google,0,Games,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$430,900.00 "
Can Knockdown 3,4.5,Apple,1.99,Games,10,"$300,000.00 ","$79,900.00 ","$220,100.00 ","$430,900.00 "
Five Nights at Freddy's 3,4.5,Apple,2.99,Games,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$429,800.00 "
Five Nights at Freddy's 3,4.7,Google,2.99,Games,11.4,"$312,000.00 ","$92,300.00 ","$219,700.00 ","$429,800.00 "
Riptide GP: Renegade,4.5,Apple,2.99,Games,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$429,800.00 "
Riptide GP: Renegade,4.7,Google,2.99,Games,11.4,"$312,000.00 ","$92,300.00 ","$219,700.00 ","$429,800.00 "
Tsuro - The Game of the Path,4.5,Apple,2.99,Games,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$429,800.00 "
Tsuro - The Game of the Path,4.7,Google,2.99,Family,11.4,"$312,000.00 ","$92,300.00 ","$219,700.00 ","$429,800.00 "
ADP Mobile Solutions,4,Apple,0,Business,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$426,400.00 "
ADP Mobile Solutions,4.3,Google,0,Business,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$426,400.00 "
Amex Mobile,4,Apple,0,Finance,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$426,400.00 "
Amex Mobile,4.3,Google,0,Finance,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$426,400.00 "
Bike Unchained,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$426,400.00 "
Bike Unchained,4.3,Google,0,Sports,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$426,400.00 "
Candy Crush Jelly Saga,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$426,400.00 "
Candy Crush Jelly Saga,4.3,Google,0,Games,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$426,400.00 "
Indeed Job Search,4,Apple,0,Business,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$426,400.00 "
Indeed Job Search,4.3,Google,0,Business,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$426,400.00 "
Kik,4,Apple,0,Social Networking,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$426,400.00 "
Kik,4.3,Google,0,Communication,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$426,400.00 "
Puffin Web Browser,4,Apple,0,Utilities,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$426,400.00 "
Puffin Web Browser,4.3,Google,0,Communication,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$426,400.00 "
Shopkins World!,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$426,400.00 "
Shopkins World!,4.3,Google,0,Family,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$426,400.00 "
SONIC Drive-In,4,Apple,0,Food & Drink,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$426,400.00 "
SONIC Drive-In,4.3,Google,0,Food & Drink,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$426,400.00 "
T-Mobile,4,Apple,0,Productivity,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$426,400.00 "
T-Mobile,4.3,Google,0,Tools,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$426,400.00 "
The Simpsons™: Tapped Out,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$426,400.00 "
The Simpsons™: Tapped Out,4.3,Google,0,Family,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$426,400.00 "
WEB.DE Mail,4,Apple,0,Productivity,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$426,400.00 "
WEB.DE Mail,4.3,Google,0,Communication,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$426,400.00 "
Bloons TD 5,4.5,Apple,2.99,Games,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$425,000.00 "
Bloons TD 5,4.6,Google,2.99,Family,11.2,"$306,000.00 ","$91,100.00 ","$214,900.00 ","$425,000.00 "
Five Nights at Freddy's,4.5,Apple,2.99,Games,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$425,000.00 "
Five Nights at Freddy's,4.6,Google,2.99,Games,11.2,"$306,000.00 ","$91,100.00 ","$214,900.00 ","$425,000.00 "
Five Nights at Freddy's 2,4.5,Apple,2.99,Games,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$425,000.00 "
Five Nights at Freddy's 2,4.6,Google,2.99,Family,11.2,"$306,000.00 ","$91,100.00 ","$214,900.00 ","$425,000.00 "
Alto's Adventure,4.5,Apple,4.99,Games,10,"$300,000.00 ","$109,900.00 ","$190,100.00 ","$424,900.00 "
Alto's Adventure,4.6,Google,0,Games,11.2,"$306,000.00 ","$71,200.00 ","$234,800.00 ","$424,900.00 "
Hitman GO,4.5,Apple,4.99,Games,10,"$300,000.00 ","$109,900.00 ","$190,100.00 ","$424,900.00 "
Hitman GO,4.6,Google,0.99,Family,11.2,"$306,000.00 ","$71,200.00 ","$234,800.00 ","$424,900.00 "
Amazon Prime Video,4,Apple,0,Entertainment,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$421,600.00 "
Amazon Prime Video,4.2,Google,0,Entertainment,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$421,600.00 "
Angry Birds Friends,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$421,600.00 "
Angry Birds Friends,4.2,Google,0,Games,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$421,600.00 "
Angry Birds Go!,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$421,600.00 "
Angry Birds Go!,4.2,Google,0,Games,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$421,600.00 "
Bejeweled Blitz,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$421,600.00 "
Bejeweled Blitz,4.2,Google,0,Family,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$421,600.00 "
Driving Zone,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$421,600.00 "
Driving Zone,4.2,Google,0,Games,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$421,600.00 "
Dumb Ways to Die 2: The Games,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$421,600.00 "
Dumb Ways to Die 2: The Games,4.2,Google,0,Family,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$421,600.00 "
Google Classroom,4,Apple,0,Education,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$421,600.00 "
Google Classroom,4.2,Google,0,Education,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$421,600.00 "
Google Slides,4,Apple,0,Productivity,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$421,600.00 "
Google Slides,4.2,Google,0,Productivity,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$421,600.00 "
Google Street View,4,Apple,0,Travel,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$421,600.00 "
Google Street View,4.2,Google,0,Travel And Local,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$421,600.00 "
King of Avalon: Dragon Warfare,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$421,600.00 "
King of Avalon: Dragon Warfare,4.2,Google,0,Family,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$421,600.00 "
MARVEL Avengers Academy,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$421,600.00 "
MARVEL Avengers Academy,4.2,Google,0,Games,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$421,600.00 "
NASCAR MOBILE,4,Apple,0,Sports,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$421,600.00 "
NASCAR MOBILE,4.2,Google,0,Sports,10.4,"$282,000.00 ","$66,400.00 ","$215,600.00 ","$421,600.00 "
"Alizay, pirate girl",4.5,Apple,2.99,Book,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$420,200.00 "
"Alizay, pirate girl",4.5,Google,2.99,Family,11,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$420,200.00 "
Threema,4.5,Apple,2.99,Social Networking,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$420,200.00 "
Threema,4.5,Google,2.99,Communication,11,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$420,200.00 "
Toca Life: City,4.5,Apple,2.99,Education,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$419,800.00 "
Toca Life: City,4.7,Google,3.99,Family,11.4,"$312,000.00 ","$102,300.00 ","$209,700.00 ","$419,800.00 "
Ao Oni2,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$416,800.00 "
Ao Oni2,4.1,Google,0,Games,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$416,800.00 "
Cartoon Wars 3,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$416,800.00 "
Cartoon Wars 3,4.1,Google,0,Family,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$416,800.00 "
diep.io,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$416,800.00 "
diep.io,4.1,Google,0,Games,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$416,800.00 "
DRAGON BALL Z DOKKAN BATTLE,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$416,800.00 "
DRAGON BALL Z DOKKAN BATTLE,4.1,Google,0,Games,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$416,800.00 "
Get 'Em,4,Apple,0.99,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$416,800.00 "
Get 'Em,4.1,Google,0,Games,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$416,800.00 "
Infinite Painter,4,Apple,0,Productivity,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$416,800.00 "
Infinite Painter,4.1,Google,0,Art And Design,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$416,800.00 "
LEGO® Juniors Create & Cruise,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$416,800.00 "
LEGO® Juniors Create & Cruise,4.1,Google,0,Family,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$416,800.00 "
My Little Pony: Harmony Quest,4,Apple,0,Entertainment,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$416,800.00 "
My Little Pony: Harmony Quest,4.1,Google,0,Family,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$416,800.00 "
Peggle Blast,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$416,800.00 "
Peggle Blast,4.1,Google,0,Games,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$416,800.00 "
Tom's Love Letters,4,Apple,0,Entertainment,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$416,800.00 "
Tom's Love Letters,4.1,Google,0,Family,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$416,800.00 "
Tom Loves Angela,4,Apple,0.99,Entertainment,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$416,800.00 "
Tom Loves Angela,4.1,Google,0,Family,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$416,800.00 "
UNO ™ & Friends,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$416,800.00 "
UNO ™ & Friends,4.1,Google,0,Games,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$416,800.00 "
WatchESPN,4,Apple,0,Sports,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$416,800.00 "
WatchESPN,4.1,Google,0,Sports,10.2,"$276,000.00 ","$65,200.00 ","$210,800.00 ","$416,800.00 "
Pocket Yoga,4.4,Google,2.99,Health & Fitness,10.8,"$294,000.00 ","$88,700.00 ","$205,300.00 ","$415,400.00 "
Pocket Yoga,4.5,Apple,2.99,Health & Fitness,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$415,400.00 "
The Game of Life,4.4,Google,2.99,Games,10.8,"$294,000.00 ","$88,700.00 ","$205,300.00 ","$415,400.00 "
The Game of Life,4.5,Apple,2.99,Games,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$415,400.00 "
My Talking Pet,4.5,Apple,1.99,Entertainment,10,"$300,000.00 ","$79,900.00 ","$220,100.00 ","$415,000.00 "
My Talking Pet,4.6,Google,4.99,Entertainment,11.2,"$306,000.00 ","$111,100.00 ","$194,900.00 ","$415,000.00 "
Does not Commute,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$412,000.00 "
Does not Commute,4,Google,0,Games,10,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$412,000.00 "
Hangouts,4,Apple,0,Social Networking,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$412,000.00 "
Hangouts,4,Google,0,Communication,10,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$412,000.00 "
RISK: Global Domination,4,Apple,0,Games,9,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$412,000.00 "
RISK: Global Domination,4,Google,0,Family,10,"$270,000.00 ","$64,000.00 ","$206,000.00 ","$412,000.00 "
True Skate,4,Apple,1.99,Games,9,"$270,000.00 ","$73,900.00 ","$196,100.00 ","$411,400.00 "
True Skate,4.4,Google,1.99,Sports,10.8,"$294,000.00 ","$78,700.00 ","$215,300.00 ","$411,400.00 "
