name,rating,store,cost,category,expected_lifespan_in_years,lifetime_earnings,lifetime_cost,net_profit,total_net_profit
Hill Climb Racing 2,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$464,800.00 "
Hill Climb Racing 2,4.6,Google,0,Games,11.2,"$306,000.00 ","$71,200.00 ","$234,800.00 ","$464,800.00 "
Hitman Sniper,4.5,Apple,0.99,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$464,800.00 "
Hitman Sniper,4.6,Google,0.99,Games,11.2,"$306,000.00 ","$71,200.00 ","$234,800.00 ","$464,800.00 "
MARVEL Future Fight,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$464,800.00 "
MARVEL Future Fight,4.6,Google,0,Family,11.2,"$306,000.00 ","$71,200.00 ","$234,800.00 ","$464,800.00 "
Pinterest,4.5,Apple,0,Social Networking,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$464,800.00 "
Pinterest,4.6,Google,0,Social,11.2,"$306,000.00 ","$71,200.00 ","$234,800.00 ","$464,800.00 "
Score! Hero,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$464,800.00 "
Score! Hero,4.6,Google,0,Games,11.2,"$306,000.00 ","$71,200.00 ","$234,800.00 ","$464,800.00 "
Shadow Fight 2,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$464,800.00 "
Shadow Fight 2,4.6,Google,0,Games,11.2,"$306,000.00 ","$71,200.00 ","$234,800.00 ","$464,800.00 "
Township,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$464,800.00 "
Township,4.6,Google,0,Family,11.2,"$306,000.00 ","$71,200.00 ","$234,800.00 ","$464,800.00 "
War Robots,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$464,800.00 "
War Robots,4.6,Google,0,Games,11.2,"$306,000.00 ","$71,200.00 ","$234,800.00 ","$464,800.00 "
Angry Birds Epic RPG,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Angry Birds Epic RPG,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Army of Heroes,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Army of Heroes,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Asphalt 8: Airborne,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Asphalt 8: Airborne,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Boom Beach,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Boom Beach,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Bullet Force,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
